Date,Time,Game ID,Elo,Outcome,Side,Country
6/6/2025,11:59:59 PM,417,397,Loss,Black,Thailand
6/6/2025,11:59:59 PM,418,405,Win,Black,Canada
6/6/2025,11:59:59 PM,419,413,Win,White,South Korea
6/6/2025,11:59:59 PM,420,413,Draw,White,Ukraine
6/6/2025,11:59:59 PM,421,405,Loss,Black,Canada
6/7/2025,11:59:59 PM,422,396,Loss,White,Brazil
6/7/2025,11:59:59 PM,423,388,Loss,Black,India
6/7/2025,11:59:59 PM,424,388,Draw,White,India
6/7/2025,11:59:59 PM,425,396,Win,Black,India
6/7/2025,11:59:59 PM,426,388,Loss,White,Iran
6/7/2025,11:59:59 PM,427,380,Loss,White,India
6/7/2025,11:59:59 PM,428,372,Loss,Black,Brazil
6/7/2025,11:59:59 PM,429,364,Loss,White,Turkiye
6/7/2025,11:59:59 PM,430,372,Win,Black,USA
6/7/2025,11:59:59 PM,431,379,Win,Black,Ukraine
6/7/2025,11:59:59 PM,432,371,Loss,White,South Africa
6/7/2025,11:59:59 PM,433,362,Loss,Black,Indonesia
6/7/2025,11:59:59 PM,434,370,Win,White,Brazil
6/7/2025,11:59:59 PM,435,378,Win,Black,Haiti
6/7/2025,11:59:59 PM,436,370,Loss,White,Italy
6/7/2025,11:59:59 PM,437,378,Win,Black,USA
6/8/2025,11:59:59 PM,438,386,Win,White,Poland
6/8/2025,11:59:59 PM,439,378,Loss,Black,USA
6/8/2025,11:59:59 PM,440,370,Loss,White,Brazil
6/9/2025,11:59:59 PM,441,362,Loss,White,Pakistan
6/9/2025,11:59:59 PM,442,354,Loss,White,Peru
6/9/2025,11:59:59 PM,443,346,Loss,Black,Indonesia
6/9/2025,11:59:59 PM,444,354,Win,Black,India
6/9/2025,11:59:59 PM,445,362,Rule Violation,None,None
6/9/2025,11:59:59 PM,446,354,Loss,Black,Iran
6/9/2025,11:59:59 PM,447,354,Draw,White,France
6/9/2025,11:59:59 PM,448,362,Win,White,Philippines
6/9/2025,11:59:59 PM,449,354,Loss,Black,Brazil
6/10/2025,11:59:59 PM,450,362,Win,White,France
6/10/2025,11:59:59 PM,451,362,Draw,Black,France
6/10/2025,11:59:59 PM,452,370,Win,White,Thailand
6/10/2025,11:59:59 PM,453,378,Win,Black,Australia
6/12/2025,11:59:59 PM,454,370,Loss,White,Pakistan
6/12/2025,11:59:59 PM,455,378,Win,Black,Kazakhstan
6/12/2025,11:59:59 PM,456,370,Loss,White,Guatamala
6/13/2025,11:59:59 PM,457,378,Win,Black,France
6/13/2025,11:59:59 PM,458,370,Loss,Black,Nigeria
6/13/2025,11:59:59 PM,459,378,Win,Black,France
